Label (Grouping),Arkansas!!Female!!Estimate,"Arkansas County, Arkansas!!Female!!Estimate","Ashley County, Arkansas!!Female!!Estimate","Baxter County, Arkansas!!Female!!Estimate","Benton County, Arkansas!!Female!!Estimate","Boone County, Arkansas!!Female!!Estimate","Bradley County, Arkansas!!Female!!Estimate","Calhoun County, Arkansas!!Female!!Estimate","Carroll County, Arkansas!!Female!!Estimate","Chicot County, Arkansas!!Female!!Estimate","Clark County, Arkansas!!Female!!Estimate","Clay County, Arkansas!!Female!!Estimate","Cleburne County, Arkansas!!Female!!Estimate","Cleveland County, Arkansas!!Female!!Estimate","Columbia County, Arkansas!!Female!!Estimate","Conway County, Arkansas!!Female!!Estimate","Craighead County, Arkansas!!Female!!Estimate","Crawford County, Arkansas!!Female!!Estimate","Crittenden County, Arkansas!!Female!!Estimate","Cross County, Arkansas!!Female!!Estimate","Dallas County, Arkansas!!Female!!Estimate","Desha County, Arkansas!!Female!!Estimate","Drew County, Arkansas!!Female!!Estimate","Faulkner County, Arkansas!!Female!!Estimate","Franklin County, Arkansas!!Female!!Estimate","Fulton County, Arkansas!!Female!!Estimate","Garland County, Arkansas!!Female!!Estimate","Grant County, Arkansas!!Female!!Estimate","Greene County, Arkansas!!Female!!Estimate","Hempstead County, Arkansas!!Female!!Estimate","Hot Spring County, Arkansas!!Female!!Estimate","Howard County, Arkansas!!Female!!Estimate","Independence County, Arkansas!!Female!!Estimate","Izard County, Arkansas!!Female!!Estimate","Jackson County, Arkansas!!Female!!Estimate","Jefferson County, Arkansas!!Female!!Estimate","Johnson County, Arkansas!!Female!!Estimate","Lafayette County, Arkansas!!Female!!Estimate","Lawrence County, Arkansas!!Female!!Estimate","Lee County, Arkansas!!Female!!Estimate","Lincoln County, Arkansas!!Female!!Estimate","Little River County, Arkansas!!Female!!Estimate","Logan County, Arkansas!!Female!!Estimate","Lonoke County, Arkansas!!Female!!Estimate","Madison County, Arkansas!!Female!!Estimate","Marion County, Arkansas!!Female!!Estimate","Miller County, Arkansas!!Female!!Estimate","Mississippi County, Arkansas!!Female!!Estimate","Monroe County, Arkansas!!Female!!Estimate","Montgomery County, Arkansas!!Female!!Estimate","Nevada County, Arkansas!!Female!!Estimate","Newton County, Arkansas!!Female!!Estimate","Ouachita County, Arkansas!!Female!!Estimate","Perry County, Arkansas!!Female!!Estimate","Phillips County, Arkansas!!Female!!Estimate","Pike County, Arkansas!!Female!!Estimate","Poinsett County, Arkansas!!Female!!Estimate","Polk County, Arkansas!!Female!!Estimate","Pope County, Arkansas!!Female!!Estimate","Prairie County, Arkansas!!Female!!Estimate","Pulaski County, Arkansas!!Female!!Estimate","Randolph County, Arkansas!!Female!!Estimate","St. Francis County, Arkansas!!Female!!Estimate","Saline County, Arkansas!!Female!!Estimate","Scott County, Arkansas!!Female!!Estimate","Searcy County, Arkansas!!Female!!Estimate","Sebastian County, Arkansas!!Female!!Estimate","Sevier County, Arkansas!!Female!!Estimate","Sharp County, Arkansas!!Female!!Estimate","Stone County, Arkansas!!Female!!Estimate","Union County, Arkansas!!Female!!Estimate","Van Buren County, Arkansas!!Female!!Estimate","Washington County, Arkansas!!Female!!Estimate","White County, Arkansas!!Female!!Estimate","Woodruff County, Arkansas!!Female!!Estimate","Yell County, Arkansas!!Female!!Estimate"
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 18 to 24 years,"137,502",634,818,"1,106","11,093","1,229",362,133,947,405,"2,631",538,715,249,"2,027",734,"5,846","2,498","2,147",525,293,437,"1,261","9,686",617,340,"3,455",630,"1,791",813,997,585,"1,539",383,626,"3,424","1,315",302,766,331,236,472,761,"2,723",567,453,"1,641","1,763",211,261,210,339,862,328,829,418,925,686,"4,028",239,"16,769",584,934,"4,372",318,375,"5,781",672,504,352,"1,509",540,"16,922","4,648",240,802
        Less than high school graduate,"15,416",104,2,172,"1,134",152,164,0,261,56,196,166,120,78,92,79,625,509,383,96,9,76,90,358,34,29,369,103,180,138,116,152,153,32,67,307,213,59,61,132,23,56,137,295,44,75,186,208,67,52,3,43,105,70,214,5,162,38,120,3,"2,243",177,261,763,82,83,582,92,68,85,339,124,"1,173",216,42,113
        High school graduate (includes equivalency),"42,558",230,446,459,"3,794",620,110,46,357,204,538,132,431,64,479,297,"1,059",945,756,238,174,173,182,"1,908",246,154,"1,153",227,570,309,351,153,312,43,307,"1,269",452,103,355,107,125,264,259,773,377,214,861,913,86,128,110,94,280,53,277,181,254,303,"1,035",78,"5,219",168,196,"1,320",150,158,"2,268",148,188,14,432,190,"3,927","1,392",88,282
        Some college or associate's degree,"65,250",282,323,427,"4,647",384,63,82,300,145,"1,720",212,159,100,"1,356",254,"3,477",903,881,167,77,157,893,"6,035",284,150,"1,465",272,775,278,411,276,973,267,234,"1,589",558,71,307,92,60,131,337,"1,189",140,109,476,592,35,81,97,202,427,182,266,183,460,297,"2,695",97,"6,441",233,457,"1,976",86,133,"2,512",368,203,253,537,165,"9,721","2,572",96,395
        Bachelor's degree or higher,"14,278",18,47,48,"1,518",73,25,5,29,0,177,28,5,7,100,104,685,141,127,24,33,31,96,"1,385",53,7,468,28,266,88,119,4,101,41,18,259,92,69,43,0,28,21,28,466,6,55,118,50,23,0,0,0,50,23,72,49,49,48,178,61,"2,866",6,20,313,0,1,419,64,45,0,201,61,"2,101",468,14,12
    Population 25 years and over,"1,052,734","6,593","7,295","16,872","91,316","13,718","3,995","1,960","10,184","3,676","7,023","5,377","9,519","2,989","7,927","7,640","37,077","21,918","16,757","6,078","2,618","4,222","6,260","40,205","6,389","4,666","38,230","6,596","15,881","7,821","11,744","4,644","13,147","4,883","6,238","23,814","8,869","2,540","5,805","2,736","3,516","4,656","7,887","25,410","5,568","6,593","15,507","14,162","2,706","3,449","3,083","2,807","8,978","3,622","6,526","3,828","8,520","7,261","21,170","3,110","143,912","6,348","7,823","43,588","3,578","2,748","44,343","5,369","6,507","4,799","14,047","6,334","73,209","26,731","2,448","7,369"
        Less than 9th grade,"44,335",314,592,327,"4,037",491,221,59,489,220,216,357,317,49,333,326,"1,694",911,824,297,134,221,237,789,239,238,995,132,400,655,409,179,565,255,339,790,633,231,282,144,203,48,346,923,269,183,352,835,193,84,170,162,375,148,327,255,857,351,"1,128",100,"4,026",333,342,"1,298",263,216,"2,469",586,245,280,415,164,"4,606","1,033",172,637
"        9th to 12th grade, no diploma","79,638",546,553,"1,267","5,111",905,405,259,682,407,555,472,686,262,691,723,"2,302","1,960","1,656",562,181,519,542,"2,131",621,405,"2,724",456,968,598,975,435,"1,231",486,683,"1,738",907,305,543,410,344,327,672,"1,555",479,630,"1,779","1,550",371,277,101,304,925,324,880,269,803,606,"1,890",196,"7,610",536,883,"2,078",353,279,"3,967",579,551,657,"1,298",709,"5,435","2,456",253,850
        High school graduate (includes equivalency),"333,720","2,650","3,112","5,981","27,009","4,007","1,589",817,"3,700","1,402","2,216","2,046","3,781","1,317","3,072","2,594","10,917","7,745","5,248","2,251","1,152","1,779","2,072","11,266","2,643","1,596","11,510","2,417","6,233","2,558","4,008","1,863","4,436","1,634","2,488","8,807","3,791",967,"2,051","1,119","1,248","1,713","3,174","8,811","2,545","2,096","5,017","5,109",954,"1,129","1,323",878,"3,248","1,397","1,699","1,244","3,523","2,534","6,875","1,142","34,918","1,923","2,588","12,321","1,181",993,"12,567","1,727","2,525","1,533","4,400","2,486","18,847","10,399",986,"2,823"
