Label (Grouping),Arkansas!!Male!!Estimate,"Arkansas County, Arkansas!!Male!!Estimate","Ashley County, Arkansas!!Male!!Estimate","Baxter County, Arkansas!!Male!!Estimate","Benton County, Arkansas!!Male!!Estimate","Boone County, Arkansas!!Male!!Estimate","Bradley County, Arkansas!!Male!!Estimate","Calhoun County, Arkansas!!Male!!Estimate","Carroll County, Arkansas!!Male!!Estimate","Chicot County, Arkansas!!Male!!Estimate","Clark County, Arkansas!!Male!!Estimate","Clay County, Arkansas!!Male!!Estimate","Cleburne County, Arkansas!!Male!!Estimate","Cleveland County, Arkansas!!Male!!Estimate","Columbia County, Arkansas!!Male!!Estimate","Conway County, Arkansas!!Male!!Estimate","Craighead County, Arkansas!!Male!!Estimate","Crawford County, Arkansas!!Male!!Estimate","Crittenden County, Arkansas!!Male!!Estimate","Cross County, Arkansas!!Male!!Estimate","Dallas County, Arkansas!!Male!!Estimate","Desha County, Arkansas!!Male!!Estimate","Drew County, Arkansas!!Male!!Estimate","Faulkner County, Arkansas!!Male!!Estimate","Franklin County, Arkansas!!Male!!Estimate","Fulton County, Arkansas!!Male!!Estimate","Garland County, Arkansas!!Male!!Estimate","Grant County, Arkansas!!Male!!Estimate","Greene County, Arkansas!!Male!!Estimate","Hempstead County, Arkansas!!Male!!Estimate","Hot Spring County, Arkansas!!Male!!Estimate","Howard County, Arkansas!!Male!!Estimate","Independence County, Arkansas!!Male!!Estimate","Izard County, Arkansas!!Male!!Estimate","Jackson County, Arkansas!!Male!!Estimate","Jefferson County, Arkansas!!Male!!Estimate","Johnson County, Arkansas!!Male!!Estimate","Lafayette County, Arkansas!!Male!!Estimate","Lawrence County, Arkansas!!Male!!Estimate","Lee County, Arkansas!!Male!!Estimate","Lincoln County, Arkansas!!Male!!Estimate","Little River County, Arkansas!!Male!!Estimate","Logan County, Arkansas!!Male!!Estimate","Lonoke County, Arkansas!!Male!!Estimate","Madison County, Arkansas!!Male!!Estimate","Marion County, Arkansas!!Male!!Estimate","Miller County, Arkansas!!Male!!Estimate","Mississippi County, Arkansas!!Male!!Estimate","Monroe County, Arkansas!!Male!!Estimate","Montgomery County, Arkansas!!Male!!Estimate","Nevada County, Arkansas!!Male!!Estimate","Newton County, Arkansas!!Male!!Estimate","Ouachita County, Arkansas!!Male!!Estimate","Perry County, Arkansas!!Male!!Estimate","Phillips County, Arkansas!!Male!!Estimate","Pike County, Arkansas!!Male!!Estimate","Poinsett County, Arkansas!!Male!!Estimate","Polk County, Arkansas!!Male!!Estimate","Pope County, Arkansas!!Male!!Estimate","Prairie County, Arkansas!!Male!!Estimate","Pulaski County, Arkansas!!Male!!Estimate","Randolph County, Arkansas!!Male!!Estimate","St. Francis County, Arkansas!!Male!!Estimate","Saline County, Arkansas!!Male!!Estimate","Scott County, Arkansas!!Male!!Estimate","Searcy County, Arkansas!!Male!!Estimate","Sebastian County, Arkansas!!Male!!Estimate","Sevier County, Arkansas!!Male!!Estimate","Sharp County, Arkansas!!Male!!Estimate","Stone County, Arkansas!!Male!!Estimate","Union County, Arkansas!!Male!!Estimate","Van Buren County, Arkansas!!Male!!Estimate","Washington County, Arkansas!!Male!!Estimate","White County, Arkansas!!Male!!Estimate","Woodruff County, Arkansas!!Male!!Estimate","Yell County, Arkansas!!Male!!Estimate"
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 18 to 24 years,"144,817",701,"1,009","1,255","11,123","1,491",305,288,"1,112",438,"2,436",554,853,246,"2,095",825,"6,089","2,516","2,180",657,293,417,"1,394","8,940",918,430,"3,777",720,"2,031","1,013","1,358",461,"1,827",499,747,"3,562","1,275",290,839,458,840,372,828,"2,854",595,450,"1,936","1,809",287,304,457,261,"1,009",371,726,482,964,705,"4,381",312,"17,333",699,"1,118","4,407",354,259,"5,856",822,611,445,"1,630",597,"17,681","4,479",257,904
        Less than high school graduate,"19,653",69,369,289,"1,492",414,32,35,288,77,50,75,156,59,163,83,391,306,380,146,110,67,118,505,200,61,539,33,449,129,245,75,256,107,158,398,161,50,73,88,288,42,140,425,129,145,301,331,62,74,176,1,165,96,102,77,183,193,186,42,"2,737",146,364,757,86,19,762,177,124,78,191,87,"1,663",520,42,46
        High school graduate (includes equivalency),"55,446",321,360,498,"4,617",437,131,118,493,231,541,345,451,136,711,312,"1,757","1,199",760,267,103,201,422,"2,338",531,234,"1,938",479,860,449,502,169,524,304,440,"1,722",446,112,341,279,346,134,350,"1,550",305,138,822,"1,048",82,121,218,159,426,145,254,204,491,356,"1,485",137,"6,297",358,307,"2,139",163,137,"2,712",286,251,263,669,404,"4,861","1,197",83,469
        Some college or associate's degree,"59,399",273,280,451,"4,140",611,136,97,256,128,"1,682",125,209,32,"1,136",419,"3,167",966,"1,011",232,80,143,731,"5,035",153,135,"1,169",207,614,430,543,202,"1,035",86,98,"1,316",525,115,367,82,131,196,304,712,152,156,602,342,143,109,60,87,360,129,316,201,280,156,"2,307",77,"5,743",180,446,"1,336",91,80,"2,229",316,235,76,643,106,"9,678","2,519",115,369
        Bachelor's degree or higher,"10,319",38,0,17,874,29,6,38,75,2,163,9,37,19,85,11,774,45,29,12,0,6,123,"1,062",34,0,131,1,108,5,68,15,12,2,51,126,143,13,58,9,75,0,34,167,9,11,211,88,0,0,3,14,58,1,54,0,10,0,403,56,"2,556",15,1,175,14,23,153,43,1,28,127,0,"1,479",243,17,20
    Population 25 years and over,"973,988","5,767","6,310","15,174","88,109","12,564","3,527","1,813","9,675","3,610","6,011","5,085","9,216","2,754","6,678","6,929","33,107","20,726","14,120","5,366","2,394","3,500","5,376","37,145","5,789","4,312","33,688","6,189","14,463","6,537","12,391","4,123","12,064","5,461","5,925","22,355","8,578","2,317","5,475","3,802","6,458","4,100","7,456","23,414","5,874","6,084","14,106","12,806","2,232","3,288","2,632","2,815","7,449","3,739","5,414","3,682","7,670","6,757","19,816","2,803","123,738","6,073","10,124","40,460","3,589","2,961","41,086","5,249","6,035","4,504","12,493","5,908","70,922","24,478","2,143","7,205"
        Less than 9th grade,"51,068",413,254,452,"4,989",501,249,46,949,270,207,385,584,39,285,361,"1,482","1,061",874,450,62,317,221,"1,327",356,324,"1,084",156,416,404,391,137,594,456,368,989,846,141,412,262,414,104,383,774,471,286,936,"1,035",164,277,140,156,203,134,329,362,588,391,"1,178",138,"4,104",409,663,932,362,269,"2,978",746,305,430,407,454,"5,427","1,307",102,596
"        9th to 12th grade, no diploma","85,319",458,620,"1,551","4,572","1,194",379,241,597,692,464,508,929,251,618,545,"1,929","2,673","1,670",818,267,480,549,"1,893",479,431,"2,851",510,"1,553",640,"1,251",475,"1,252",666,649,"2,298","1,133",344,607,609,"1,103",417,646,"1,686",551,669,"1,177","1,420",316,503,188,167,764,181,664,237,874,727,"2,012",400,"7,504",641,"1,455","3,020",482,331,"4,102",664,970,547,"1,492",535,"5,395","2,484",273,"1,076"
        High school graduate (includes equivalency),"353,092","2,667","3,494","5,267","24,792","5,025","1,630",894,"3,440","1,355","2,027","2,290","3,858","1,333","3,019","3,407","12,710","7,168","5,354","2,359","1,129","1,703","2,227","12,444","2,513","1,706","10,918","2,627","7,250","2,974","5,271","1,645","4,884","2,062","2,778","9,735","3,440","1,097","2,166","1,847","3,506","2,091","3,532","9,495","3,059","2,288","5,234","5,346","1,161","1,147","1,486","1,232","3,414","1,674","2,027","1,535","3,733","2,534","6,996","1,164","34,680","2,543","3,945","13,701","1,719","1,374","12,642","2,144","2,516","1,633","4,803","2,569","19,419","10,300","1,004","2,941"
