Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 18 to 24 years,"282,319","1,335","1,827","2,361","22,216","2,720",667,421,"2,059",843,"5,067","1,092","1,568",495,"4,122","1,559","11,935","5,014","4,327","1,182",586,854,"2,655","18,626","1,535",770,"7,232","1,350","3,822","1,826","2,355","1,046","3,366",882,"1,373","6,986","2,590",592,"1,605",789,"1,076",844,"1,589","5,577","1,162",903,"3,577","3,572",498,565,667,600,"1,871",699,"1,555",900,"1,889","1,391","8,409",551,"34,102","1,283","2,052","8,779",672,634,"11,637","1,494","1,115",797,"3,139","1,137","34,603","9,127",497,"1,706"
        Less than high school graduate,"35,069",173,371,461,"2,626",566,196,35,549,133,246,241,276,137,255,162,"1,016",815,763,242,119,143,208,863,234,90,908,136,629,267,361,227,409,139,225,705,374,109,134,220,311,98,277,720,173,220,487,539,129,126,179,44,270,166,316,82,345,231,306,45,"4,980",323,625,"1,520",168,102,"1,344",269,192,163,530,211,"2,836",736,84,159
        High school graduate (includes equivalency),"98,004",551,806,957,"8,411","1,057",241,164,850,435,"1,079",477,882,200,"1,190",609,"2,816","2,144","1,516",505,277,374,604,"4,246",777,388,"3,091",706,"1,430",758,853,322,836,347,747,"2,991",898,215,696,386,471,398,609,"2,323",682,352,"1,683","1,961",168,249,328,253,706,198,531,385,745,659,"2,520",215,"11,516",526,503,"3,459",313,295,"4,980",434,439,277,"1,101",594,"8,788","2,589",171,751
        Some college or associate's degree,"124,649",555,603,878,"8,787",995,199,179,556,273,"3,402",337,368,132,"2,492",673,"6,644","1,869","1,892",399,157,300,"1,624","11,070",437,285,"2,634",479,"1,389",708,954,478,"2,008",353,332,"2,905","1,083",186,674,174,191,327,641,"1,901",292,265,"1,078",934,178,190,157,289,787,311,582,384,740,453,"5,002",174,"12,184",413,903,"3,312",177,213,"4,741",684,438,329,"1,180",271,"19,399","5,091",211,764
        Bachelor's degree or higher,"24,597",56,47,65,"2,392",102,31,43,104,2,340,37,42,26,185,115,"1,459",186,156,36,33,37,219,"2,447",87,7,599,29,374,93,187,19,113,43,69,385,235,82,101,9,103,21,62,633,15,66,329,138,23,0,3,14,108,24,126,49,59,48,581,117,"5,422",21,21,488,14,24,572,107,46,28,328,61,"3,580",711,31,32
    Population 25 years and over,"2,026,722","12,360","13,605","32,046","179,425","26,282","7,522","3,773","19,859","7,286","13,034","10,462","18,735","5,743","14,605","14,569","70,184","42,644","30,877","11,444","5,012","7,722","11,636","77,350","12,178","8,978","71,918","12,785","30,344","14,358","24,135","8,767","25,211","10,344","12,163","46,169","17,447","4,857","11,280","6,538","9,974","8,756","15,343","48,824","11,442","12,677","29,613","26,968","4,938","6,737","5,715","5,622","16,427","7,361","11,940","7,510","16,190","14,018","40,986","5,913","267,650","12,421","17,947","84,048","7,167","5,709","85,429","10,618","12,542","9,303","26,540","12,242","144,131","51,209","4,591","14,574"
        Less than 9th grade,"95,403",727,846,779,"9,026",992,470,105,"1,438",490,423,742,901,88,618,687,"3,176","1,972","1,698",747,196,538,458,"2,116",595,562,"2,079",288,816,"1,059",800,316,"1,159",711,707,"1,779","1,479",372,694,406,617,152,729,"1,697",740,469,"1,288","1,870",357,361,310,318,578,282,656,617,"1,445",742,"2,306",238,"8,130",742,"1,005","2,230",625,485,"5,447","1,332",550,710,822,618,"10,033","2,340",274,"1,233"
"        9th to 12th grade, no diploma","164,957","1,004","1,173","2,818","9,683","2,099",784,500,"1,279","1,099","1,019",980,"1,615",513,"1,309","1,268","4,231","4,633","3,326","1,380",448,999,"1,091","4,024","1,100",836,"5,575",966,"2,521","1,238","2,226",910,"2,483","1,152","1,332","4,036","2,040",649,"1,150","1,019","1,447",744,"1,318","3,241","1,030","1,299","2,956","2,970",687,780,289,471,"1,689",505,"1,544",506,"1,677","1,333","3,902",596,"15,114","1,177","2,338","5,098",835,610,"8,069","1,243","1,521","1,204","2,790","1,244","10,830","4,940",526,"1,926"
        High school graduate (includes equivalency),"686,812","5,317","6,606","11,248","51,801","9,032","3,219","1,711","7,140","2,757","4,243","4,336","7,639","2,650","6,091","6,001","23,627","14,913","10,602","4,610","2,281","3,482","4,299","23,710","5,156","3,302","22,428","5,044","13,483","5,532","9,279","3,508","9,320","3,696","5,266","18,542","7,231","2,064","4,217","2,966","4,754","3,804","6,706","18,306","5,604","4,384","10,251","10,455","2,115","2,276","2,809","2,110","6,662","3,071","3,726","2,779","7,256","5,068","13,871","2,306","69,598","4,466","6,533","26,022","2,900","2,367","25,209","3,871","5,041","3,166","9,203","5,055","38,266","20,699","1,990","5,764"
