Label (Grouping),Arkansas!!Percent!!Estimate,"Arkansas County, Arkansas!!Percent!!Estimate","Ashley County, Arkansas!!Percent!!Estimate","Baxter County, Arkansas!!Percent!!Estimate","Benton County, Arkansas!!Percent!!Estimate","Boone County, Arkansas!!Percent!!Estimate","Bradley County, Arkansas!!Percent!!Estimate","Calhoun County, Arkansas!!Percent!!Estimate","Carroll County, Arkansas!!Percent!!Estimate","Chicot County, Arkansas!!Percent!!Estimate","Clark County, Arkansas!!Percent!!Estimate","Clay County, Arkansas!!Percent!!Estimate","Cleburne County, Arkansas!!Percent!!Estimate","Cleveland County, Arkansas!!Percent!!Estimate","Columbia County, Arkansas!!Percent!!Estimate","Conway County, Arkansas!!Percent!!Estimate","Craighead County, Arkansas!!Percent!!Estimate","Crawford County, Arkansas!!Percent!!Estimate","Crittenden County, Arkansas!!Percent!!Estimate","Cross County, Arkansas!!Percent!!Estimate","Dallas County, Arkansas!!Percent!!Estimate","Desha County, Arkansas!!Percent!!Estimate","Drew County, Arkansas!!Percent!!Estimate","Faulkner County, Arkansas!!Percent!!Estimate","Franklin County, Arkansas!!Percent!!Estimate","Fulton County, Arkansas!!Percent!!Estimate","Garland County, Arkansas!!Percent!!Estimate","Grant County, Arkansas!!Percent!!Estimate","Greene County, Arkansas!!Percent!!Estimate","Hempstead County, Arkansas!!Percent!!Estimate","Hot Spring County, Arkansas!!Percent!!Estimate","Howard County, Arkansas!!Percent!!Estimate","Independence County, Arkansas!!Percent!!Estimate","Izard County, Arkansas!!Percent!!Estimate","Jackson County, Arkansas!!Percent!!Estimate","Jefferson County, Arkansas!!Percent!!Estimate","Johnson County, Arkansas!!Percent!!Estimate","Lafayette County, Arkansas!!Percent!!Estimate","Lawrence County, Arkansas!!Percent!!Estimate","Lee County, Arkansas!!Percent!!Estimate","Lincoln County, Arkansas!!Percent!!Estimate","Little River County, Arkansas!!Percent!!Estimate","Logan County, Arkansas!!Percent!!Estimate","Lonoke County, Arkansas!!Percent!!Estimate","Madison County, Arkansas!!Percent!!Estimate","Marion County, Arkansas!!Percent!!Estimate","Miller County, Arkansas!!Percent!!Estimate","Mississippi County, Arkansas!!Percent!!Estimate","Monroe County, Arkansas!!Percent!!Estimate","Montgomery County, Arkansas!!Percent!!Estimate","Nevada County, Arkansas!!Percent!!Estimate","Newton County, Arkansas!!Percent!!Estimate","Ouachita County, Arkansas!!Percent!!Estimate","Perry County, Arkansas!!Percent!!Estimate","Phillips County, Arkansas!!Percent!!Estimate","Pike County, Arkansas!!Percent!!Estimate","Poinsett County, Arkansas!!Percent!!Estimate","Polk County, Arkansas!!Percent!!Estimate","Pope County, Arkansas!!Percent!!Estimate","Prairie County, Arkansas!!Percent!!Estimate","Pulaski County, Arkansas!!Percent!!Estimate","Randolph County, Arkansas!!Percent!!Estimate","St. Francis County, Arkansas!!Percent!!Estimate","Saline County, Arkansas!!Percent!!Estimate","Scott County, Arkansas!!Percent!!Estimate","Searcy County, Arkansas!!Percent!!Estimate","Sebastian County, Arkansas!!Percent!!Estimate","Sevier County, Arkansas!!Percent!!Estimate","Sharp County, Arkansas!!Percent!!Estimate","Stone County, Arkansas!!Percent!!Estimate","Union County, Arkansas!!Percent!!Estimate","Van Buren County, Arkansas!!Percent!!Estimate","Washington County, Arkansas!!Percent!!Estimate","White County, Arkansas!!Percent!!Estimate","Woodruff County, Arkansas!!Percent!!Estimate","Yell County, Arkansas!!Percent!!Estimate"
Population 5 years and over,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Speak only English,92.4%,98.2%,94.8%,97.6%,86.1%,97.8%,85.4%,95.3%,87.6%,92.7%,95.8%,98.8%,97.9%,99.4%,96.6%,96.4%,94.3%,92.9%,97.5%,97.7%,99.1%,93.2%,97.5%,94.9%,98.2%,99.2%,93.5%,97.5%,98.3%,88.7%,96.1%,84.9%,95.0%,97.6%,97.8%,95.9%,88.0%,97.3%,98.7%,97.1%,95.1%,98.3%,96.2%,96.0%,96.5%,98.4%,97.9%,96.0%,98.1%,96.4%,99.8%,99.3%,98.2%,97.9%,98.7%,94.7%,97.9%,93.8%,91.3%,99.4%,92.2%,96.3%,94.6%,95.1%,94.7%,99.3%,84.8%,68.2%,98.9%,98.7%,95.4%,97.8%,82.1%,94.3%,99.8%,81.7%
    Speak a language other than English,7.6%,1.8%,5.2%,2.4%,13.9%,2.2%,14.6%,4.7%,12.4%,7.3%,4.2%,1.2%,2.1%,0.6%,3.4%,3.6%,5.7%,7.1%,2.5%,2.3%,0.9%,6.8%,2.5%,5.1%,1.8%,0.8%,6.5%,2.5%,1.7%,11.3%,3.9%,15.1%,5.0%,2.4%,2.2%,4.1%,12.0%,2.7%,1.3%,2.9%,4.9%,1.7%,3.8%,4.0%,3.5%,1.6%,2.1%,4.0%,1.9%,3.6%,0.2%,0.7%,1.8%,2.1%,1.3%,5.3%,2.1%,6.2%,8.7%,0.6%,7.8%,3.7%,5.4%,4.9%,5.3%,0.7%,15.2%,31.8%,1.1%,1.3%,4.6%,2.2%,17.9%,5.7%,0.2%,18.3%
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,5.4%,1.5%,5.1%,1.7%,10.3%,0.9%,14.2%,3.7%,10.6%,6.0%,3.2%,1.0%,1.4%,0.5%,2.4%,2.8%,3.7%,5.3%,1.4%,0.6%,0.8%,6.1%,2.0%,2.8%,1.0%,0.2%,4.4%,2.4%,1.1%,10.9%,3.4%,11.6%,4.2%,1.2%,1.6%,1.8%,10.2%,1.8%,0.7%,2.5%,4.4%,1.1%,1.5%,2.7%,1.9%,0.7%,1.5%,3.5%,1.4%,3.4%,0.2%,0.3%,1.2%,1.8%,0.9%,5.1%,1.9%,5.1%,5.8%,0.5%,4.8%,1.6%,4.7%,3.4%,4.0%,0.1%,11.2%,30.6%,0.9%,0.9%,3.6%,1.3%,12.8%,4.4%,0.2%,16.8%
            5 to 17 years old,1.4%,0.4%,1.6%,0.2%,2.4%,0.1%,4.2%,1.6%,3.0%,1.7%,1.1%,0.2%,0.2%,0.4%,0.4%,0.3%,0.9%,1.0%,0.3%,0.0%,0.0%,1.9%,0.4%,0.6%,0.6%,0.0%,1.0%,0.7%,0.1%,3.8%,1.8%,4.1%,0.6%,0.2%,0.0%,0.3%,2.7%,0.6%,0.1%,0.0%,0.3%,0.3%,0.2%,0.7%,0.0%,0.0%,0.1%,1.1%,0.0%,1.0%,0.0%,0.0%,0.5%,1.0%,0.1%,0.9%,0.4%,1.6%,1.9%,0.0%,1.4%,0.4%,0.4%,1.0%,0.6%,0.0%,3.0%,9.9%,0.1%,0.7%,1.1%,0.3%,3.5%,1.1%,0.0%,4.5%
            18 to 64 years old,3.8%,1.1%,3.3%,0.9%,7.4%,0.8%,10.0%,2.1%,7.1%,4.0%,2.1%,0.8%,0.8%,0.0%,2.0%,2.5%,2.7%,4.2%,1.0%,0.6%,0.8%,4.2%,1.6%,2.1%,0.3%,0.1%,3.0%,1.5%,0.9%,6.6%,1.6%,7.2%,3.4%,0.7%,1.5%,1.3%,6.9%,1.1%,0.5%,2.5%,4.0%,0.9%,1.2%,1.9%,1.5%,0.7%,1.2%,2.1%,1.3%,2.3%,0.2%,0.0%,0.7%,0.7%,0.8%,4.1%,1.4%,3.2%,3.6%,0.2%,3.2%,1.0%,4.1%,2.3%,1.7%,0.1%,7.8%,20.1%,0.6%,0.1%,2.4%,0.9%,8.8%,3.1%,0.2%,11.7%
            65 years old and over,0.2%,0.1%,0.2%,0.6%,0.5%,0.0%,0.1%,0.1%,0.5%,0.3%,0.1%,0.0%,0.4%,0.0%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.1%,0.4%,0.2%,0.1%,0.6%,0.0%,0.3%,0.2%,0.4%,0.1%,0.2%,0.5%,0.1%,0.1%,0.0%,0.2%,0.0%,0.1%,0.1%,0.3%,0.0%,0.2%,0.3%,0.0%,0.1%,0.1%,0.3%,0.0%,0.1%,0.0%,0.1%,0.1%,0.2%,0.3%,0.3%,0.2%,0.3%,0.1%,0.1%,1.7%,0.0%,0.5%,0.6%,0.2%,0.0%,0.1%,0.1%,0.4%,0.2%,0.0%,0.7%
        Other Indo-European languages,0.7%,0.1%,0.1%,0.5%,0.8%,0.8%,0.4%,0.9%,0.2%,0.7%,0.5%,0.1%,0.2%,0.1%,0.4%,0.2%,1.1%,0.5%,0.5%,0.1%,0.1%,0.0%,0.1%,0.9%,0.5%,0.5%,1.4%,0.2%,0.3%,0.2%,0.3%,2.8%,0.3%,0.9%,0.3%,1.0%,0.6%,0.1%,0.5%,0.4%,0.1%,0.3%,0.7%,0.4%,1.0%,0.7%,0.1%,0.2%,0.4%,0.0%,0.0%,0.1%,0.4%,0.2%,0.3%,0.1%,0.2%,0.7%,1.6%,0.0%,1.2%,0.4%,0.4%,0.5%,0.0%,0.0%,0.5%,0.1%,0.2%,0.4%,0.3%,0.2%,1.0%,0.8%,0.0%,0.3%
            5 to 17 years old,0.1%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.1%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%
