Label (Grouping),"Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Arkansas County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Ashley County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Baxter County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Benton County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Boone County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Bradley County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Calhoun County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Carroll County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Chicot County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Clark County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Clay County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Cleburne County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Cleveland County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Columbia County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Conway County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Craighead County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Crawford County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Crittenden County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Cross County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Dallas County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Desha County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Drew County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Faulkner County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Franklin County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Fulton County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Garland County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Grant County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Greene County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Hempstead County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Hot Spring County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Howard County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Independence County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Izard County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Jackson County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Jefferson County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Johnson County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Lafayette County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Lawrence County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Lee County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Lincoln County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Little River County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Logan County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Lonoke County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Madison County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Marion County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Miller County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Mississippi County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Monroe County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Montgomery County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Nevada County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Newton County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Ouachita County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Perry County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Phillips County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Pike County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Poinsett County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Polk County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Pope County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Prairie County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Pulaski County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Randolph County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","St. Francis County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Saline County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Scott County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Searcy County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Sebastian County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Sevier County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Sharp County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Stone County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Union County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Van Buren County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Washington County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","White County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Woodruff County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Yell County, Arkansas!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate"
Population 5 years and over,3.2%,0.8%,1.9%,0.4%,6.3%,0.8%,3.8%,1.2%,7.3%,1.9%,1.9%,0.3%,0.2%,0.2%,1.4%,1.0%,2.4%,3.2%,1.2%,1.2%,0.2%,5.3%,0.3%,1.4%,0.1%,0.6%,2.9%,0.4%,0.6%,5.2%,1.4%,5.0%,2.2%,0.1%,0.2%,1.4%,5.8%,1.6%,0.2%,1.2%,2.1%,0.3%,1.2%,1.4%,1.3%,0.3%,0.7%,1.9%,0.9%,2.1%,0.0%,0.1%,0.1%,0.3%,0.0%,3.1%,0.9%,2.4%,4.0%,0.0%,3.2%,1.3%,2.9%,1.9%,2.8%,0.0%,6.9%,15.0%,0.3%,0.1%,1.6%,0.6%,8.2%,1.6%,0.0%,7.5%
    Speak only English,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Speak a language other than English,42.3%,46.6%,37.4%,15.3%,45.6%,37.2%,26.1%,25.2%,58.8%,25.5%,45.1%,28.6%,10.3%,32.6%,41.2%,27.0%,42.6%,45.2%,47.1%,52.1%,23.4%,77.9%,11.6%,26.3%,5.2%,75.3%,43.9%,14.2%,36.9%,46.2%,35.2%,33.0%,44.1%,6.0%,9.3%,34.7%,48.6%,59.2%,17.8%,40.9%,42.3%,18.1%,30.9%,34.6%,37.4%,20.0%,31.8%,47.5%,45.9%,56.8%,0.0%,15.4%,6.9%,15.8%,3.2%,57.6%,44.4%,38.4%,46.6%,2.2%,41.0%,34.1%,52.6%,38.2%,52.9%,0.0%,45.2%,47.1%,30.7%,4.5%,35.5%,28.2%,46.1%,28.3%,0.0%,41.1%
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,43.7%,45.4%,37.7%,7.4%,46.8%,24.9%,26.1%,32.2%,54.8%,27.3%,51.5%,31.5%,10.1%,28.6%,43.2%,31.9%,41.7%,42.1%,47.5%,0.0%,26.8%,82.1%,14.1%,30.4%,5.4%,53.6%,39.9%,15.3%,39.9%,47.1%,35.1%,35.8%,45.5%,7.5%,13.3%,46.7%,45.1%,77.6%,22.1%,47.2%,45.2%,27.1%,15.5%,32.1%,30.8%,13.0%,36.4%,49.7%,52.8%,55.3%,0.0%,0.0%,5.1%,14.9%,4.7%,56.8%,49.8%,40.1%,56.9%,2.6%,47.3%,20.4%,59.4%,41.9%,55.4%,0.0%,44.5%,47.8%,26.6%,1.0%,34.6%,35.7%,45.4%,28.3%,0.0%,41.7%
            5 to 17 years old,18.0%,9.5%,0.0%,0.0%,19.9%,0.0%,0.5%,0.0%,25.8%,4.8%,44.2%,0.0%,0.0%,31.3%,18.8%,0.0%,17.5%,11.7%,14.2%,-,-,87.9%,0.0%,12.2%,0.0%,-,25.3%,5.2%,19.5%,8.8%,38.2%,1.8%,50.9%,0.0%,-,45.5%,1.8%,55.3%,0.0%,0.0%,2.8%,0.0%,0.0%,14.2%,0.0%,-,0.0%,24.4%,-,13.8%,-,-,0.0%,0.0%,0.0%,0.0%,1.1%,12.4%,16.4%,-,28.2%,14.9%,57.9%,6.7%,0.0%,-,17.2%,11.9%,0.0%,0.0%,9.3%,0.0%,17.6%,3.6%,-,9.5%
            18 to 64 years old,52.3%,54.9%,53.6%,13.4%,53.7%,27.9%,37.0%,57.3%,68.0%,33.3%,57.4%,39.3%,17.1%,0.0%,49.2%,36.9%,50.3%,49.1%,60.3%,0.0%,26.8%,79.4%,18.3%,35.9%,16.1%,47.1%,45.4%,21.7%,38.5%,65.3%,30.4%,53.6%,45.0%,13.2%,14.2%,44.0%,58.7%,97.2%,29.4%,47.4%,46.1%,35.4%,19.2%,37.4%,27.5%,13.0%,33.2%,64.7%,54.7%,76.9%,0.0%,-,6.0%,40.3%,1.6%,69.3%,62.8%,57.1%,78.1%,5.9%,55.7%,10.9%,59.8%,55.8%,31.7%,0.0%,52.9%,64.9%,37.3%,0.0%,48.1%,52.1%,54.6%,35.3%,0.0%,51.2%
            65 years old and over,60.3%,100.0%,65.8%,0.9%,77.8%,0.0%,0.0%,0.0%,43.4%,73.3%,0.0%,0.0%,0.0%,-,0.0%,0.0%,34.1%,54.1%,27.8%,-,-,-,0.0%,29.5%,0.0%,63.6%,35.9%,0.0%,64.8%,88.8%,90.9%,67.5%,35.6%,0.0%,0.0%,61.8%,91.2%,0.0%,0.0%,-,88.0%,-,7.1%,54.9%,49.0%,-,64.0%,42.7%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,70.0%,84.6%,0.0%,67.3%,0.0%,45.5%,65.1%,52.9%,69.8%,100.0%,-,78.4%,64.4%,0.0%,20.0%,0.0%,0.0%,84.1%,46.9%,-,93.3%
        Other Indo-European languages,23.9%,37.5%,0.0%,14.8%,28.5%,40.7%,25.0%,0.0%,39.7%,17.9%,12.3%,0.0%,8.2%,50.0%,0.0%,11.4%,43.2%,44.5%,35.4%,0.0%,0.0%,-,0.0%,11.9%,0.0%,87.3%,37.8%,0.0%,17.4%,29.5%,34.9%,16.4%,9.7%,2.4%,0.0%,15.2%,31.3%,100.0%,11.8%,0.0%,41.2%,0.0%,25.7%,17.4%,35.8%,1.8%,0.0%,20.2%,14.3%,-,-,0.0%,14.1%,0.0%,0.0%,0.0%,0.0%,32.1%,19.7%,-,20.7%,24.3%,11.6%,14.0%,-,-,13.3%,0.0%,60.7%,11.5%,37.4%,35.5%,30.1%,16.2%,-,12.5%
            5 to 17 years old,20.0%,-,-,0.0%,17.9%,100.0%,0.0%,-,-,-,0.0%,-,-,-,-,-,0.0%,73.1%,31.6%,-,-,-,-,16.9%,0.0%,68.0%,10.9%,0.0%,0.0%,-,0.0%,30.2%,-,-,0.0%,0.0%,62.8%,-,-,-,-,0.0%,-,100.0%,0.0%,0.0%,-,0.0%,0.0%,-,-,-,-,-,-,-,0.0%,86.7%,25.5%,-,2.8%,0.0%,0.0%,0.0%,-,-,0.0%,-,100.0%,-,0.0%,-,13.3%,59.8%,-,-
