Label (Grouping),"Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Arkansas County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Ashley County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Baxter County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Benton County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Boone County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Bradley County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Calhoun County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Carroll County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Chicot County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Clark County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Clay County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Cleburne County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Cleveland County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Columbia County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Conway County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Craighead County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Crawford County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Crittenden County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Cross County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Dallas County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Desha County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Drew County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Faulkner County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Franklin County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Fulton County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Garland County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Grant County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Greene County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Hempstead County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Hot Spring County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Howard County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Independence County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Izard County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Jackson County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Jefferson County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Johnson County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Lafayette County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Lawrence County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Lee County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Lincoln County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Little River County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Logan County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Lonoke County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Madison County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Marion County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Miller County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Mississippi County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Monroe County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Montgomery County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Nevada County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Newton County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Ouachita County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Perry County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Phillips County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Pike County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Poinsett County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Polk County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Pope County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Prairie County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Pulaski County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Randolph County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","St. Francis County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Saline County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Scott County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Searcy County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Sebastian County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Sevier County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Sharp County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Stone County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Union County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Van Buren County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Washington County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","White County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Woodruff County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Yell County, Arkansas!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error"
Population 5 years and over,"±2,860",±71,±121,±92,±995,±154,±122,±29,±291,±76,±96,±59,±73,±104,±172,±104,±414,±407,±125,±235,±22,±129,±73,±390,±101,±85,±629,±73,±176,±178,±349,±119,±304,±104,±30,±212,±301,±43,±43,±57,±90,±105,±125,±273,±118,±51,±154,±236,±79,±56,±3,±13,±36,±47,±24,±58,±122,±118,±375,±26,"±1,110",±116,±308,±394,±195,±33,±774,±295,±52,±12,±187,±82,"±1,228",±341,±3,±231
    Speak only English,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Speak a language other than English,"±2,992",±86,±158,±288,"±1,403",±147,±178,±44,±228,±109,±147,±90,±145,±29,±158,±176,±564,±374,±171,±148,±30,±101,±139,±612,±112,±22,±561,±135,±128,±201,±334,±241,±239,±139,±125,±371,±299,±51,±83,±95,±80,±109,±152,±418,±116,±99,±177,±270,±40,±44,±17,±32,±187,±96,±101,±84,±128,±129,±391,±45,"±1,196",±153,±286,±529,±147,±43,±699,±292,±60,±114,±223,±150,"±1,260",±443,±14,±235
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,"±2,315",±82,±159,±265,"±1,153",±97,±177,±25,±223,±79,±117,±87,±120,±29,±136,±142,±375,±344,±123,±128,±29,±77,±122,±337,±97,±14,±496,±132,±104,±201,±313,±119,±226,±103,±113,±173,±280,±31,±55,±86,±78,±69,±103,±295,±90,±62,±141,±250,±29,±43,±17,±30,±163,±91,±78,±85,±114,±106,±340,±44,±816,±124,±238,±428,±134,±9,±591,±285,±60,±105,±193,±105,"±1,116",±399,±14,±215
            5 to 17 years old,"±1,098",±67,±128,±87,±619,±23,±56,±21,±143,±50,±76,±43,±47,±29,±43,±44,±218,±209,±81,±19,±17,±28,±44,±181,±87,±19,±256,±60,±31,±121,±211,±53,±75,±24,±19,±92,±137,±28,±16,±3,±35,±34,±22,±149,±9,±19,±41,±164,±17,±22,±17,±17,±88,±101,±21,±56,±68,±59,±224,±17,±428,±49,±62,±227,±73,±17,±345,±146,±17,±104,±95,±77,±587,±144,±17,±157
            18 to 64 years old,"±1,840",±57,±77,±168,±727,±101,±157,±18,±168,±75,±71,±53,±96,±5,±120,±152,±299,±275,±66,±128,±29,±68,±110,±264,±43,±13,±318,±103,±100,±120,±188,±100,±215,±62,±112,±145,±221,±5,±54,±86,±71,±65,±96,±205,±85,±62,±123,±133,±28,±47,±14,±17,±99,±43,±75,±49,±69,±72,±196,±19,±600,±91,±196,±291,±86,±9,±544,±253,±40,±29,±139,±49,±813,±352,±14,±205
            65 years old and over,±427,±19,±17,±146,±92,±24,±10,±4,±58,±13,±26,±8,±65,±17,±20,±26,±78,±33,±23,±19,±17,±19,±23,±34,±21,±6,±187,±47,±25,±18,±3,±20,±50,±47,±21,±39,±15,±12,±11,±17,±6,±19,±16,±24,±42,±19,±37,±49,±7,±15,±10,±30,±23,±25,±19,±5,±5,±41,±66,±38,±172,±22,±16,±42,±19,±17,±88,±41,±25,±8,±20,±13,±96,±74,±17,±14
        Other Indo-European languages,"±1,413",±15,±16,±102,±370,±94,±30,±44,±26,±53,±70,±21,±37,±7,±75,±38,±378,±110,±94,±15,±13,±19,±16,±320,±60,±15,±213,±35,±66,±28,±47,±223,±68,±70,±34,±203,±67,±17,±51,±37,±17,±36,±100,±114,±57,±57,±32,±48,±25,±17,±17,±11,±68,±27,±50,±7,±46,±58,±356,±17,±731,±60,±68,±226,±19,±17,±189,±15,±11,±54,±67,±23,±342,±166,±17,±40
            5 to 17 years old,±368,±19,±23,±19,±50,±26,±8,±17,±23,±19,±6,±19,±23,±17,±23,±23,±119,±33,±20,±19,±17,±19,±19,±87,±6,±15,±45,±23,±56,±23,±23,±118,±26,±19,±8,±106,±24,±17,±19,±17,±19,±25,±23,±29,±29,±6,±26,±6,±6,±17,±17,±17,±23,±19,±19,±19,±19,±8,±54,±17,±197,±12,±55,±67,±19,±17,±55,±19,±19,±19,±39,±19,±91,±53,±17,±23
            18 to 64 years old,"±1,218",±15,±16,±81,±318,±88,±3,±17,±20,±46,±34,±21,±23,±7,±56,±34,±357,±86,±88,±8,±13,±19,±9,±285,±60,±19,±182,±28,±13,±13,±40,±127,±66,±64,±29,±159,±52,±17,±48,±37,±17,±11,±23,±80,±42,±41,±23,±40,±17,±17,±17,±8,±38,±27,±33,±4,±36,±27,±336,±17,±661,±8,±36,±203,±19,±17,±137,±15,±7,±53,±42,±16,±302,±142,±17,±30
            65 years old and over,±287,±19,±23,±37,±67,±26,±27,±44,±18,±26,±62,±19,±30,±17,±43,±19,±17,±18,±15,±13,±17,±19,±12,±51,±19,±19,±116,±19,±40,±24,±26,±19,±14,±35,±13,±22,±6,±17,±15,±6,±19,±10,±97,±60,±17,±40,±22,±27,±14,±17,±17,±8,±37,±19,±40,±5,±23,±46,±86,±17,±106,±57,±23,±39,±19,±17,±69,±19,±8,±8,±26,±17,±102,±43,±17,±27
        Asian and Pacific Island languages,"±1,211",±16,±8,±26,±462,±45,±19,±8,±39,±34,±41,±19,±68,±17,±32,±61,±184,±139,±54,±5,±17,±46,±9,±225,±19,±19,±112,±19,±34,±34,±38,±52,±45,±36,±21,±243,±29,±48,±4,±17,±19,±69,±61,±131,±36,±6,±114,±83,±17,±5,±17,±17,±13,±19,±19,±5,±2,±55,±185,±17,±562,±95,±88,±262,±51,±20,±346,±72,±10,±19,±85,±106,±698,±61,±17,±46
            5 to 17 years old,±707,±19,±23,±26,±233,±26,±19,±17,±39,±19,±5,±19,±23,±17,±19,±19,±160,±78,±23,±5,±17,±34,±19,±110,±5,±19,±30,±19,±26,±23,±26,±19,±9,±19,±8,±17,±23,±16,±19,±17,±19,±19,±24,±43,±19,±19,±12,±78,±17,±17,±17,±17,±23,±19,±19,±19,±23,±12,±147,±17,±205,±23,±23,±117,±19,±17,±153,±19,±19,±19,±52,±36,±445,±29,±17,±8
            18 to 64 years old,±930,±16,±8,±26,±375,±45,±19,±8,±23,±34,±39,±19,±59,±17,±38,±44,±78,±93,±44,±19,±17,±26,±9,±164,±20,±19,±92,±19,±37,±34,±38,±52,±42,±32,±19,±88,±29,±39,±4,±17,±19,±69,±64,±117,±9,±6,±110,±143,±17,±5,±17,±17,±10,±19,±19,±5,±23,±43,±136,±17,±442,±91,±64,±189,±51,±20,±302,±72,±10,±19,±23,±74,±446,±61,±17,±46
