Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
Population 5 years and over,"2,823,428","16,642","18,807","39,933","254,368","35,317","10,128","4,958","26,518","9,831","21,159","13,922","23,859","7,672","22,171","19,698","101,534","59,099","44,675","15,475","6,756","10,793","17,135","117,212","16,753","11,700","93,816","17,217","42,184","20,209","32,022","12,328","35,093","12,996","16,006","64,066","24,817","6,369","15,556","8,488","12,708","11,560","20,321","68,252","15,292","15,857","40,861","38,424","6,449","8,532","7,760","7,407","22,293","9,798","16,815","10,140","22,244","18,841","59,916","7,688","367,209","16,838","23,884","113,931","9,654","7,513","119,338","15,591","16,351","12,004","36,472","15,824","220,295","73,896","6,095","20,093"
    Speak only English,"2,609,930","16,350","17,831","38,987","218,956","34,546","8,650","4,724","23,238","9,117","20,275","13,761","23,362","7,629","21,416","18,995","95,710","54,906","43,556","15,120","6,692","10,064","16,712","111,178","16,448","11,603","87,692","16,779","41,484","17,921","30,758","10,464","33,351","12,681","15,653","61,438","21,846","6,195","15,354","8,241","12,088","11,361","19,542","65,538","14,762","15,597","39,989","36,896","6,327","8,224","7,741","7,355","21,899","9,589","16,595","9,600","21,780","17,668","54,712","7,642","338,453","16,219","22,584","108,320","9,144","7,461","101,164","10,627","16,172","11,849","34,786","15,477","180,882","69,696","6,085","16,423"
    Speak a language other than English,"213,498",292,976,946,"35,412",771,"1,478",234,"3,280",714,884,161,497,43,755,703,"5,824","4,193","1,119",355,64,729,423,"6,034",305,97,"6,124",438,700,"2,288","1,264","1,864","1,742",315,353,"2,628","2,971",174,202,247,620,199,779,"2,714",530,260,872,"1,528",122,308,19,52,394,209,220,540,464,"1,173","5,204",46,"28,756",619,"1,300","5,611",510,52,"18,174","4,964",179,155,"1,686",347,"39,413","4,200",10,"3,670"
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,"153,429",249,953,665,"26,255",321,"1,442",183,"2,821",590,687,146,336,35,535,561,"3,783","3,134",627,100,56,659,348,"3,304",167,28,"4,092",406,474,"2,205","1,100","1,435","1,473",160,249,"1,183","2,524",116,113,214,564,129,309,"1,811",292,108,605,"1,347",89,293,19,21,273,181,148,514,414,958,"3,474",39,"17,637",275,"1,118","3,924",386,4,"13,416","4,773",143,103,"1,305",210,"28,194","3,231",10,"3,383"
            5 to 17 years old,"40,194",63,292,92,"6,178",19,422,77,801,167,233,24,52,32,85,54,953,590,148,0,0,207,61,755,94,0,952,116,41,759,573,503,222,21,0,213,679,38,19,1,36,30,50,451,5,0,25,439,0,87,0,0,102,100,14,93,92,306,"1,165",0,"5,111",67,107,"1,154",60,0,"3,555","1,539",15,81,419,55,"7,815",779,0,906
            18 to 64 years old,"106,316",175,623,352,"18,895",287,"1,014",103,"1,877",393,437,117,199,3,437,485,"2,742","2,483",443,100,56,452,268,"2,488",56,17,"2,800",258,379,"1,330",516,892,"1,192",91,233,813,"1,709",71,85,213,503,99,245,"1,309",236,108,491,798,86,195,13,0,167,67,129,411,309,606,"2,144",17,"11,744",165,977,"2,608",164,4,"9,314","3,133",102,17,859,144,"19,423","2,292",10,"2,343"
            65 years old and over,"6,919",11,38,221,"1,182",15,6,3,143,30,17,5,85,0,13,22,88,61,36,0,0,0,19,61,17,11,340,32,54,116,11,40,59,48,16,157,136,7,9,0,25,0,14,51,51,0,89,110,3,11,6,21,4,14,5,10,13,46,165,22,782,43,34,162,162,0,547,101,26,5,27,11,956,160,0,134
        Other Indo-European languages,"20,054",16,13,189,"1,910",280,36,46,63,67,106,15,49,8,98,44,"1,094",308,226,13,8,0,15,"1,098",77,63,"1,278",32,115,44,83,348,93,123,48,613,150,8,85,33,17,29,152,242,151,113,46,84,28,0,0,10,85,22,48,6,49,140,984,0,"4,496",70,86,556,0,0,647,8,28,52,123,31,"2,243",557,0,56
            5 to 17 years old,"2,097",0,0,12,84,56,2,0,0,0,6,0,0,0,0,0,162,78,19,0,0,0,0,89,4,25,46,14,50,0,14,189,0,0,5,131,43,0,0,0,0,16,0,15,20,3,0,4,3,0,0,0,0,0,0,0,11,30,51,0,469,7,38,46,0,0,45,0,13,0,40,0,150,107,0,0
