Label (Grouping),Arkansas!!Total!!Margin of Error,"Arkansas County, Arkansas!!Total!!Margin of Error","Ashley County, Arkansas!!Total!!Margin of Error","Baxter County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Total!!Margin of Error","Boone County, Arkansas!!Total!!Margin of Error","Bradley County, Arkansas!!Total!!Margin of Error","Calhoun County, Arkansas!!Total!!Margin of Error","Carroll County, Arkansas!!Total!!Margin of Error","Chicot County, Arkansas!!Total!!Margin of Error","Clark County, Arkansas!!Total!!Margin of Error","Clay County, Arkansas!!Total!!Margin of Error","Cleburne County, Arkansas!!Total!!Margin of Error","Cleveland County, Arkansas!!Total!!Margin of Error","Columbia County, Arkansas!!Total!!Margin of Error","Conway County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Total!!Margin of Error","Crawford County, Arkansas!!Total!!Margin of Error","Crittenden County, Arkansas!!Total!!Margin of Error","Cross County, Arkansas!!Total!!Margin of Error","Dallas County, Arkansas!!Total!!Margin of Error","Desha County, Arkansas!!Total!!Margin of Error","Drew County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Total!!Margin of Error","Franklin County, Arkansas!!Total!!Margin of Error","Fulton County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Total!!Margin of Error","Grant County, Arkansas!!Total!!Margin of Error","Greene County, Arkansas!!Total!!Margin of Error","Hempstead County, Arkansas!!Total!!Margin of Error","Hot Spring County, Arkansas!!Total!!Margin of Error","Howard County, Arkansas!!Total!!Margin of Error","Independence County, Arkansas!!Total!!Margin of Error","Izard County, Arkansas!!Total!!Margin of Error","Jackson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Total!!Margin of Error","Johnson County, Arkansas!!Total!!Margin of Error","Lafayette County, Arkansas!!Total!!Margin of Error","Lawrence County, Arkansas!!Total!!Margin of Error","Lee County, Arkansas!!Total!!Margin of Error","Lincoln County, Arkansas!!Total!!Margin of Error","Little River County, Arkansas!!Total!!Margin of Error","Logan County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Total!!Margin of Error","Madison County, Arkansas!!Total!!Margin of Error","Marion County, Arkansas!!Total!!Margin of Error","Miller County, Arkansas!!Total!!Margin of Error","Mississippi County, Arkansas!!Total!!Margin of Error","Monroe County, Arkansas!!Total!!Margin of Error","Montgomery County, Arkansas!!Total!!Margin of Error","Nevada County, Arkansas!!Total!!Margin of Error","Newton County, Arkansas!!Total!!Margin of Error","Ouachita County, Arkansas!!Total!!Margin of Error","Perry County, Arkansas!!Total!!Margin of Error","Phillips County, Arkansas!!Total!!Margin of Error","Pike County, Arkansas!!Total!!Margin of Error","Poinsett County, Arkansas!!Total!!Margin of Error","Polk County, Arkansas!!Total!!Margin of Error","Pope County, Arkansas!!Total!!Margin of Error","Prairie County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Total!!Margin of Error","Randolph County, Arkansas!!Total!!Margin of Error","St. Francis County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Total!!Margin of Error","Scott County, Arkansas!!Total!!Margin of Error","Searcy County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Total!!Margin of Error","Sevier County, Arkansas!!Total!!Margin of Error","Sharp County, Arkansas!!Total!!Margin of Error","Stone County, Arkansas!!Total!!Margin of Error","Union County, Arkansas!!Total!!Margin of Error","Van Buren County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Total!!Margin of Error","Woodruff County, Arkansas!!Total!!Margin of Error","Yell County, Arkansas!!Total!!Margin of Error"
Population 5 years and over,±623,±27,±111,±39,*****,±86,*****,±25,±76,±51,±77,±21,±57,±102,±52,±41,±94,±157,±17,±68,*****,±39,±56,±85,±101,±18,±75,±67,±119,±5,±104,±4,±137,±103,±3,±57,±84,±42,±31,±47,±49,±91,±67,±82,±79,±29,±20,±140,±63,±17,*****,±17,±27,±37,±21,±42,±56,±55,±85,±26,±55,±52,±40,±110,±80,±33,*****,±93,±28,±9,±64,±35,*****,±127,*****,±25
    Speak only English,"±3,792",±127,±102,±309,"±1,761",±227,±144,±45,±351,±87,±148,±132,±188,±102,±204,±213,±614,±485,±214,±316,±37,±102,±179,±759,±157,±100,±792,±144,±245,±282,±349,±292,±313,±171,±131,±404,±452,±59,±85,±98,±96,±168,±173,±539,±187,±105,±185,±170,±94,±52,±17,±33,±193,±122,±111,±81,±129,±153,±547,±50,"±1,407",±169,±229,±600,±216,±50,±841,±254,±74,±115,±187,±195,"±1,271",±422,±14,±236
    Speak a language other than English,"±3,840",±127,±186,±302,"±1,762",±251,±145,±44,±347,±98,±182,±133,±166,±32,±179,±199,±611,±457,±217,±324,±36,±109,±158,±740,±112,±100,±781,±142,±208,±282,±367,±291,±297,±145,±130,±401,±447,±70,±80,±97,±102,±137,±172,±528,±155,±102,±183,±264,±75,±47,±17,±33,±191,±111,±103,±87,±150,±148,±540,±45,"±1,419",±162,±249,±590,±196,±43,±841,±248,±68,±115,±213,±193,"±1,271",±416,±14,±238
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,"±2,904",±123,±188,±265,"±1,608",±140,±141,±29,±315,±73,±156,±131,±146,±32,±136,±167,±412,±396,±143,±128,±35,±96,±137,±408,±98,±28,±506,±140,±173,±276,±367,±65,±289,±110,±119,±219,±415,±55,±51,±83,±93,±108,±108,±401,±134,±66,±141,±236,±67,±46,±17,±30,±165,±111,±80,±83,±145,±120,±385,±44,±968,±132,±236,±493,±179,±9,±731,±222,±61,±105,±192,±156,"±1,162",±380,±14,±229
            5 to 17 years old,"±1,454",±71,±128,±87,±736,±23,±55,±21,±156,±50,±123,±43,±47,±32,±44,±44,±201,±222,±84,±19,±17,±68,±44,±203,±87,±19,±246,±60,±40,±118,±267,±40,±125,±24,±19,±99,±139,±25,±16,±3,±36,±34,±22,±163,±9,±19,±41,±167,±17,±13,±17,±17,±88,±101,±21,±56,±68,±59,±183,±17,±528,±51,±82,±240,±73,±17,±430,±133,±17,±104,±91,±77,±686,±135,±17,±145
            18 to 64 years old,"±2,018",±72,±95,±173,"±1,031",±141,±111,±19,±224,±57,±77,±94,±120,±5,±108,±166,±352,±310,±83,±128,±35,±48,±118,±295,±44,±20,±285,±107,±158,±159,±195,±69,±211,±70,±118,±167,±288,±35,±48,±84,±82,±105,±99,±309,±115,±66,±128,±120,±67,±37,±14,±17,±101,±43,±76,±40,±104,±96,±325,±19,±637,±88,±190,±303,±120,±9,±593,±143,±48,±29,±129,±98,±776,±337,±14,±160
            65 years old and over,±598,±17,±33,±146,±155,±24,±10,±4,±88,±30,±26,±8,±65,±17,±20,±26,±89,±47,±29,±19,±17,±19,±23,±44,±21,±18,±193,±47,±65,±83,±14,±44,±59,±47,±21,±111,±74,±12,±11,±17,±24,±19,±16,±33,±50,±19,±55,±75,±7,±15,±10,±30,±10,±25,±12,±15,±20,±41,±139,±38,±203,±53,±25,±110,±177,±17,±83,±81,±25,±8,±20,±13,±130,±107,±17,±70
        Other Indo-European languages,"±1,689",±18,±16,±104,±512,±149,±34,±44,±45,±52,±76,±21,±37,±9,±75,±39,±474,±191,±124,±15,±13,±19,±16,±344,±60,±102,±499,±35,±75,±35,±60,±277,±70,±70,±34,±212,±99,±11,±52,±37,±22,±36,±105,±140,±84,±57,±32,±52,±26,±17,±17,±11,±70,±27,±50,±7,±46,±78,±452,±17,±794,±65,±71,±248,±19,±17,±211,±15,±26,±55,±98,±28,±478,±201,±17,±42
            5 to 17 years old,±403,±19,±23,±19,±52,±79,±8,±17,±23,±19,±6,±19,±23,±17,±23,±23,±119,±81,±22,±19,±17,±19,±19,±87,±6,±41,±45,±23,±56,±23,±23,±175,±26,±19,±8,±106,±58,±17,±19,±17,±19,±25,±23,±30,±29,±6,±26,±6,±6,±17,±17,±17,±23,±19,±19,±19,±19,±39,±56,±17,±192,±12,±55,±67,±19,±17,±55,±19,±25,±19,±39,±19,±106,±106,±17,±23
