Label (Grouping),"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
Population for whom poverty status is determined,"16,997","19,217","41,023","275,459","36,840","10,503","4,687","27,856","9,786","19,279","14,527","24,543","7,554","21,137","20,565","106,022","59,567","47,618","16,694","6,007","11,447","16,544","118,237","16,890","11,892","98,150","17,669","44,755","20,090","30,929","12,724","36,789","12,645","14,710","62,225","25,160","6,230","15,786","7,320","8,330","11,881","20,991","73,066","16,382","16,586","41,571","40,003","6,812","8,397","8,164","7,288","22,482","9,957","16,807","10,051","22,697","19,211","59,964","8,079","391,464","18,032","20,545","120,872","9,867","7,777","126,057","15,890","16,975","12,271","38,894","15,671","234,846","73,527","6,126","20,129"
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 18 years,"3,934","4,398","7,218","72,362","8,294","2,599",912,"6,149","2,315","4,069","3,136","4,723","1,567","4,721","4,674","26,794","14,518","12,872","3,953",999,"2,944","3,599","28,135","3,949","2,524","19,818","3,967","10,831","5,144","7,132","3,382","8,770","2,509","3,329","14,666","6,269","1,185","3,619","1,605","2,147","2,633","4,536","18,684","3,782","3,025","10,001","10,408","1,483","1,541","1,856","1,477","5,128","2,284","4,475","2,186","5,363","4,335","14,160","1,646","91,553","4,277","4,873","28,096","2,336","1,558","30,259","4,534","3,513","2,464","9,458","3,032","58,405","17,760","1,267","4,856"
            Under 5 years,"1,073","1,117","1,682","18,713","2,105",703,186,"1,475",602,"1,074",785,"1,137",357,"1,366","1,150","7,236","3,603","3,487","1,017",335,771,"1,061","7,221",930,586,"5,095",968,"2,973","1,375","1,611",905,"2,296",658,891,"4,021","1,634",257,962,485,552,723,"1,173","4,688","1,099",711,"2,536","2,741",469,392,479,363,"1,196",510,"1,247",496,"1,434","1,108","3,774",384,"25,239","1,186","1,394","6,774",473,389,"8,030","1,238",854,612,"2,501",689,"15,817","4,495",337,"1,195"
            5 to 17 years,"2,861","3,281","5,536","53,649","6,189","1,896",726,"4,674","1,713","2,995","2,351","3,586","1,210","3,355","3,524","19,558","10,915","9,385","2,936",664,"2,173","2,538","20,914","3,019","1,938","14,723","2,999","7,858","3,769","5,521","2,477","6,474","1,851","2,438","10,645","4,635",928,"2,657","1,120","1,595","1,910","3,363","13,996","2,683","2,314","7,465","7,667","1,014","1,149","1,377","1,114","3,932","1,774","3,228","1,690","3,929","3,227","10,386","1,262","66,314","3,091","3,479","21,322","1,863","1,169","22,229","3,296","2,659","1,852","6,957","2,343","42,588","13,265",930,"3,661"
            Related children of householder under 18 years,"3,901","4,387","7,157","72,103","8,240","2,598",912,"6,128","2,315","4,022","3,048","4,684","1,566","4,717","4,668","26,723","14,257","12,850","3,947",996,"2,914","3,599","28,130","3,932","2,447","19,723","3,944","10,800","5,116","7,091","3,374","8,727","2,502","3,329","14,599","6,262","1,185","3,617","1,597","2,147","2,633","4,451","18,593","3,753","2,940","9,984","10,293","1,483","1,532","1,856","1,477","5,128","2,276","4,475","2,186","5,320","4,237","14,022","1,638","91,243","4,260","4,851","27,997","2,331","1,558","30,135","4,465","3,513","2,464","9,455","3,032","58,315","17,642","1,267","4,854"
        18 to 64 years,"9,812","10,873","21,314","166,761","21,025","6,070","2,794","15,397","5,395","11,876","8,305","13,371","4,490","12,780","11,985","64,719","35,304","28,263","9,716","3,501","6,367","9,980","74,989","9,775","6,393","55,448","10,600","26,867","11,436","17,784","7,202","21,882","6,893","8,572","36,026","14,791","3,588","9,263","4,106","4,378","6,853","12,397","44,592","9,481","8,975","24,740","23,822","3,788","4,653","4,693","3,922","12,889","5,719","9,199","5,888","13,368","10,540","36,340","4,588","239,378","10,314","11,928","71,398","5,578","4,282","75,891","9,179","9,232","6,533","22,604","8,658","148,813","43,645","3,445","11,878"
            18 to 34 years,"3,191","3,463","6,210","61,918","7,023","1,780",855,"4,812","1,720","5,212","2,812","3,960","1,421","5,026","3,969","26,070","12,221","10,578","3,166","1,088","2,092","3,952","31,631","3,235","1,873","17,880","3,503","9,781","3,742","5,954","2,228","7,256","2,054","2,936","12,774","5,126","1,011","3,308","1,367","1,373","2,236","4,039","15,796","3,153","2,351","8,553","8,766","1,187","1,339","1,344","1,221","3,986","1,702","3,164","1,920","4,660","3,264","13,820","1,415","89,674","3,584","4,809","24,014","1,853","1,276","27,855","3,364","2,713","1,943","7,559","2,438","64,994","15,145","1,066","3,959"
            35 to 64 years,"6,621","7,410","15,104","104,843","14,002","4,290","1,939","10,585","3,675","6,664","5,493","9,411","3,069","7,754","8,016","38,649","23,083","17,685","6,550","2,413","4,275","6,028","43,358","6,540","4,520","37,568","7,097","17,086","7,694","11,830","4,974","14,626","4,839","5,636","23,252","9,665","2,577","5,955","2,739","3,005","4,617","8,358","28,796","6,328","6,624","16,187","15,056","2,601","3,314","3,349","2,701","8,903","4,017","6,035","3,968","8,708","7,276","22,520","3,173","149,704","6,730","7,119","47,384","3,725","3,006","48,036","5,815","6,519","4,590","15,045","6,220","83,819","28,500","2,379","7,919"
        60 years and over,"4,588","5,397","16,097","50,413","10,019","2,528","1,325","8,696","2,813","4,523","4,203","8,498","2,015","4,994","5,455","19,794","13,691","9,649","4,200","1,963","2,950","4,221","21,311","4,562","4,078","30,438","4,169","9,673","4,765","8,309","2,995","8,761","4,266","3,764","15,859","5,938","1,923","4,125","2,006","2,469","3,258","5,627","14,179","4,139","6,245","9,522","8,250","2,082","2,886","2,243","2,656","6,372","2,755","4,330","2,834","5,322","5,806","13,526","2,477","85,280","4,808","4,976","28,974","2,645","2,637","27,958","3,046","5,497","4,151","9,916","5,199","38,783","16,962","1,835","4,719"
