Label (Grouping),Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error,"Arkansas County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Ashley County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Baxter County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Benton County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Boone County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Bradley County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Calhoun County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Carroll County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Chicot County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Clark County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Clay County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Cleburne County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Cleveland County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Columbia County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Conway County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Craighead County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Crawford County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Crittenden County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Cross County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Dallas County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Desha County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Drew County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Faulkner County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Franklin County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Fulton County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Garland County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Grant County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Greene County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Hempstead County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Hot Spring County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Howard County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Independence County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Izard County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Jackson County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Jefferson County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Johnson County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Lafayette County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Lawrence County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Lee County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Lincoln County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Little River County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Logan County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Lonoke County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Madison County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Marion County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Miller County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Mississippi County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Monroe County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Montgomery County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Nevada County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Newton County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Ouachita County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Perry County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Phillips County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Pike County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Poinsett County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Polk County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Pope County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Prairie County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Pulaski County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Randolph County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","St. Francis County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Saline County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Scott County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Searcy County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Sebastian County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Sevier County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Sharp County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Stone County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Union County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Van Buren County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Washington County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","White County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Woodruff County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error","Yell County, Arkansas!!Hispanic or Latino origin (of any race)!!Margin of Error"
Population 15 to 19 years,±541,,,,*****,,,,,,,,,,,,±135,,,,,,,±93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*****,,,±101,,,*****,,,,,,*****,,,
    SCHOOL ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Enrolled in school,±557,,,,±169,,,,,,,,,,,,±86,,,,,,,±108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±169,,,±63,,,±105,,,,,,±183,,,
            Public,±1.0,,,,±2.5,,,,,,,,,,,,±1.6,,,,,,,±13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±5.3,,,±17.2,,,±4.5,,,,,,±2.3,,,
            Private,±1.0,,,,±2.5,,,,,,,,,,,,±1.6,,,,,,,±13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±5.3,,,±17.2,,,±4.5,,,,,,±2.3,,,
        Not enrolled in school,±434,,,,±169,,,,,,,,,,,,±122,,,,,,,±50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±169,,,±87,,,±105,,,,,,±183,,,
    MARITAL STATUS AND FERTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,±497,,,,*****,,,,,,,,,,,,±146,,,,,,,±85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*****,,,±107,,,*****,,,,,,*****,,,
            Ever married,±0.8,,,,±0.9,,,,,,,,,,,,±9.7,,,,,,,±15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±2.5,,,±9.8,,,±6.2,,,,,,±1.7,,,
