Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
Population 15 to 19 years,"200,952",,,,"18,428",,,,,,,,,,,,"8,133",,,,,,,"9,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,150",,,"7,663",,,"8,441",,,,,,"19,256",,,
    SCHOOL ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Enrolled in school,"171,926",,,,"15,761",,,,,,,,,,,,"7,332",,,,,,,"9,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,609",,,"6,183",,,"6,846",,,,,,"17,092",,,
            Public,90.3%,,,,89.3%,,,,,,,,,,,,95.6%,,,,,,,85.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2%,,,93.4%,,,96.1%,,,,,,93.6%,,,
            Private,9.7%,,,,10.7%,,,,,,,,,,,,4.4%,,,,,,,14.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8%,,,6.6%,,,3.9%,,,,,,6.4%,,,
        Not enrolled in school,"29,026",,,,"2,667",,,,,,,,,,,,801,,,,,,,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,541",,,"1,480",,,"1,595",,,,,,"2,164",,,
    MARITAL STATUS AND FERTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"102,200",,,,"9,349",,,,,,,,,,,,"4,129",,,,,,,"4,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,705",,,"4,014",,,"4,187",,,,,,"9,378",,,
            Ever married,1.1%,,,,0.7%,,,,,,,,,,,,0.8%,,,,,,,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7%,,,1.6%,,,1.4%,,,,,,0.2%,,,
        Female,"98,752",,,,"9,079",,,,,,,,,,,,"4,004",,,,,,,"5,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,445",,,"3,649",,,"4,254",,,,,,"9,878",,,
            Ever married,1.9%,,,,1.5%,,,,,,,,,,,,1.1%,,,,,,,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3%,,,2.9%,,,3.3%,,,,,,2.4%,,,
            Female with a birth in the past 12 months,2.1%,,,,1.7%,,,,,,,,,,,,0.5%,,,,,,,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2%,,,2.1%,,,0.8%,,,,,,0.6%,,,
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 15 to 19 years in households,"181,107",,,,"17,807",,,,,,,,,,,,"6,494",,,,,,,"7,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,249",,,"7,571",,,"8,178",,,,,,"15,086",,,
        In married-couple family households,60.9%,,,,71.6%,,,,,,,,,,,,51.9%,,,,,,,63.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6%,,,67.0%,,,62.2%,,,,,,62.0%,,,
