Label (Grouping),"Arkansas!!White alone, not Hispanic or Latino!!Estimate","Arkansas County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Ashley County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Baxter County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Benton County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Boone County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Bradley County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Calhoun County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Carroll County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Chicot County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Clark County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Clay County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Cleburne County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Cleveland County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Columbia County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Conway County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Craighead County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Crawford County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Crittenden County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Cross County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Dallas County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Desha County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Drew County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Faulkner County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Franklin County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Fulton County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Garland County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Grant County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Greene County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Hempstead County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Hot Spring County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Howard County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Independence County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Izard County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Jackson County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Jefferson County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Johnson County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Lafayette County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Lawrence County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Lee County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Lincoln County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Little River County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Logan County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Lonoke County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Madison County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Marion County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Miller County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Mississippi County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Monroe County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Montgomery County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Nevada County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Newton County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Ouachita County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Perry County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Phillips County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Pike County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Poinsett County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Polk County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Pope County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Prairie County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Pulaski County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Randolph County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","St. Francis County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Saline County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Scott County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Searcy County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Sebastian County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Sevier County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Sharp County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Stone County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Union County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Van Buren County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Washington County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","White County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Woodruff County, Arkansas!!White alone, not Hispanic or Latino!!Estimate","Yell County, Arkansas!!White alone, not Hispanic or Latino!!Estimate"
Population 15 to 19 years,"127,268",,,,"11,865",,,,,,,,,,,,"5,196",,,,,,,"7,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,982",,,"5,792",,,"4,903",,,,,,"11,783",,,
    SCHOOL ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Enrolled in school,"110,444",,,,"10,444",,,,,,,,,,,,"4,751",,,,,,,"6,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,881",,,"4,820",,,"3,960",,,,,,"10,860",,,
            Public,88.3%,,,,86.5%,,,,,,,,,,,,94.6%,,,,,,,84.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7%,,,93.8%,,,95.9%,,,,,,92.3%,,,
            Private,11.7%,,,,13.5%,,,,,,,,,,,,5.4%,,,,,,,15.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3%,,,6.2%,,,4.1%,,,,,,7.7%,,,
        Not enrolled in school,"16,824",,,,"1,421",,,,,,,,,,,,445,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,101",,,972,,,943,,,,,,923,,,
    MARITAL STATUS AND FERTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"65,388",,,,"6,055",,,,,,,,,,,,"2,715",,,,,,,"3,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,718",,,"3,083",,,"2,487",,,,,,"5,732",,,
            Ever married,1.1%,,,,1.0%,,,,,,,,,,,,1.3%,,,,,,,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9%,,,0.3%,,,0.6%,,,,,,0.3%,,,
        Female,"61,880",,,,"5,810",,,,,,,,,,,,"2,481",,,,,,,"3,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,264",,,"2,709",,,"2,416",,,,,,"6,051",,,
            Ever married,1.9%,,,,0.6%,,,,,,,,,,,,0.6%,,,,,,,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7%,,,2.3%,,,2.4%,,,,,,2.8%,,,
            Female with a birth in the past 12 months,1.5%,,,,1.4%,,,,,,,,,,,,0.1%,,,,,,,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,1.6%,,,0.8%,,,,,,0.4%,,,
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 15 to 19 years in households,"114,102",,,,"11,442",,,,,,,,,,,,"3,949",,,,,,,"5,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,684",,,"5,750",,,"4,781",,,,,,"8,734",,,
        In married-couple family households,69.5%,,,,73.6%,,,,,,,,,,,,67.4%,,,,,,,73.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5%,,,69.2%,,,69.4%,,,,,,64.0%,,,
"        In male householder, no spouse present, family households",7.3%,,,,4.3%,,,,,,,,,,,,6.1%,,,,,,,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2%,,,7.5%,,,6.6%,,,,,,7.1%,,,
"        In female householder, no spouse present, family households",19.0%,,,,18.9%,,,,,,,,,,,,20.7%,,,,,,,15.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1%,,,18.8%,,,18.4%,,,,,,16.7%,,,
        In nonfamily households,4.2%,,,,3.1%,,,,,,,,,,,,5.8%,,,,,,,6.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2%,,,4.5%,,,5.5%,,,,,,12.2%,,,
Population 16 to 19 years,"101,197",,,,"9,418",,,,,,,,,,,,"4,136",,,,,,,"5,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,666",,,"4,713",,,"3,881",,,,,,"9,826",,,
    IDLENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Not enrolled in school and not in the labor force,6.6%,,,,5.4%,,,,,,,,,,,,2.6%,,,,,,,3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6%,,,4.9%,,,12.5%,,,,,,2.7%,,,
    LABOR FORCE STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        In the labor force,36.0%,,,,32.6%,,,,,,,,,,,,41.7%,,,,,,,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8%,,,44.3%,,,38.1%,,,,,,34.3%,,,
