Label (Grouping),"Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Arkansas County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Ashley County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Baxter County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Benton County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Boone County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Bradley County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Calhoun County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Carroll County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Chicot County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Clark County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Clay County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Cleburne County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Cleveland County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Columbia County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Conway County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Craighead County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Crawford County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Crittenden County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Cross County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Dallas County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Desha County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Drew County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Faulkner County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Franklin County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Fulton County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Garland County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Grant County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Greene County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Hempstead County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Hot Spring County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Howard County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Independence County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Izard County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Jackson County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Jefferson County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Johnson County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Lafayette County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Lawrence County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Lee County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Lincoln County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Little River County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Logan County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Lonoke County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Madison County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Marion County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Miller County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Mississippi County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Monroe County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Montgomery County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Nevada County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Newton County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Ouachita County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Perry County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Phillips County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Pike County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Poinsett County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Polk County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Pope County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Prairie County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Pulaski County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Randolph County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","St. Francis County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Saline County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Scott County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Searcy County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Sebastian County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Sevier County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Sharp County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Stone County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Union County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Van Buren County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Washington County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","White County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Woodruff County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error","Yell County, Arkansas!!White alone, not Hispanic or Latino!!Margin of Error"
Population 15 to 19 years,±562,,,,±200,,,,,,,,,,,,±29,,,,,,,±2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±208,,,±67,,,±29,,,,,,±229,,,
    SCHOOL ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Enrolled in school,±911,,,,±309,,,,,,,,,,,,±155,,,,,,,±136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±281,,,±166,,,±194,,,,,,±341,,,
            Public,±0.7,,,,±2.8,,,,,,,,,,,,±2.5,,,,,,,±4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±4.5,,,±2.9,,,±2.4,,,,,,±1.9,,,
            Private,±0.7,,,,±2.8,,,,,,,,,,,,±2.5,,,,,,,±4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±4.5,,,±2.9,,,±2.4,,,,,,±1.9,,,
        Not enrolled in school,±768,,,,±242,,,,,,,,,,,,±155,,,,,,,±136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±216,,,±157,,,±194,,,,,,±241,,,
    MARITAL STATUS AND FERTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,±439,,,,±138,,,,,,,,,,,,±29,,,,,,,±2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±87,,,±3,,,±29,,,,,,±229,,,
            Ever married,±0.3,,,,±0.7,,,,,,,,,,,,±1.4,,,,,,,±0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.0,,,±0.5,,,±0.9,,,,,,±0.5,,,
