Label (Grouping),"Arkansas County, Arkansas!!Below poverty level!!Estimate","Ashley County, Arkansas!!Below poverty level!!Estimate","Baxter County, Arkansas!!Below poverty level!!Estimate","Benton County, Arkansas!!Below poverty level!!Estimate","Boone County, Arkansas!!Below poverty level!!Estimate","Bradley County, Arkansas!!Below poverty level!!Estimate","Calhoun County, Arkansas!!Below poverty level!!Estimate","Carroll County, Arkansas!!Below poverty level!!Estimate","Chicot County, Arkansas!!Below poverty level!!Estimate","Clark County, Arkansas!!Below poverty level!!Estimate","Clay County, Arkansas!!Below poverty level!!Estimate","Cleburne County, Arkansas!!Below poverty level!!Estimate","Cleveland County, Arkansas!!Below poverty level!!Estimate","Columbia County, Arkansas!!Below poverty level!!Estimate","Conway County, Arkansas!!Below poverty level!!Estimate","Craighead County, Arkansas!!Below poverty level!!Estimate","Crawford County, Arkansas!!Below poverty level!!Estimate","Crittenden County, Arkansas!!Below poverty level!!Estimate","Cross County, Arkansas!!Below poverty level!!Estimate","Dallas County, Arkansas!!Below poverty level!!Estimate","Desha County, Arkansas!!Below poverty level!!Estimate","Drew County, Arkansas!!Below poverty level!!Estimate","Faulkner County, Arkansas!!Below poverty level!!Estimate","Franklin County, Arkansas!!Below poverty level!!Estimate","Fulton County, Arkansas!!Below poverty level!!Estimate","Garland County, Arkansas!!Below poverty level!!Estimate","Grant County, Arkansas!!Below poverty level!!Estimate","Greene County, Arkansas!!Below poverty level!!Estimate","Hempstead County, Arkansas!!Below poverty level!!Estimate","Hot Spring County, Arkansas!!Below poverty level!!Estimate","Howard County, Arkansas!!Below poverty level!!Estimate","Independence County, Arkansas!!Below poverty level!!Estimate","Izard County, Arkansas!!Below poverty level!!Estimate","Jackson County, Arkansas!!Below poverty level!!Estimate","Jefferson County, Arkansas!!Below poverty level!!Estimate","Johnson County, Arkansas!!Below poverty level!!Estimate","Lafayette County, Arkansas!!Below poverty level!!Estimate","Lawrence County, Arkansas!!Below poverty level!!Estimate","Lee County, Arkansas!!Below poverty level!!Estimate","Lincoln County, Arkansas!!Below poverty level!!Estimate","Little River County, Arkansas!!Below poverty level!!Estimate","Logan County, Arkansas!!Below poverty level!!Estimate","Lonoke County, Arkansas!!Below poverty level!!Estimate","Madison County, Arkansas!!Below poverty level!!Estimate","Marion County, Arkansas!!Below poverty level!!Estimate","Miller County, Arkansas!!Below poverty level!!Estimate","Mississippi County, Arkansas!!Below poverty level!!Estimate","Monroe County, Arkansas!!Below poverty level!!Estimate","Montgomery County, Arkansas!!Below poverty level!!Estimate","Nevada County, Arkansas!!Below poverty level!!Estimate","Newton County, Arkansas!!Below poverty level!!Estimate","Ouachita County, Arkansas!!Below poverty level!!Estimate","Perry County, Arkansas!!Below poverty level!!Estimate","Phillips County, Arkansas!!Below poverty level!!Estimate","Pike County, Arkansas!!Below poverty level!!Estimate","Poinsett County, Arkansas!!Below poverty level!!Estimate","Polk County, Arkansas!!Below poverty level!!Estimate","Pope County, Arkansas!!Below poverty level!!Estimate","Prairie County, Arkansas!!Below poverty level!!Estimate","Pulaski County, Arkansas!!Below poverty level!!Estimate","Randolph County, Arkansas!!Below poverty level!!Estimate","St. Francis County, Arkansas!!Below poverty level!!Estimate","Saline County, Arkansas!!Below poverty level!!Estimate","Scott County, Arkansas!!Below poverty level!!Estimate","Searcy County, Arkansas!!Below poverty level!!Estimate","Sebastian County, Arkansas!!Below poverty level!!Estimate","Sevier County, Arkansas!!Below poverty level!!Estimate","Sharp County, Arkansas!!Below poverty level!!Estimate","Stone County, Arkansas!!Below poverty level!!Estimate","Union County, Arkansas!!Below poverty level!!Estimate","Van Buren County, Arkansas!!Below poverty level!!Estimate","Washington County, Arkansas!!Below poverty level!!Estimate","White County, Arkansas!!Below poverty level!!Estimate","Woodruff County, Arkansas!!Below poverty level!!Estimate","Yell County, Arkansas!!Below poverty level!!Estimate"
Population for whom poverty status is determined,"2,784","3,957","5,750","22,245","4,900","1,550",466,"3,982","2,895","3,928","2,728","3,700",933,"4,955","3,883","18,864","10,570","9,434","2,940",775,"3,185","3,315","17,446","3,858","2,134","15,904","2,489","7,361","4,933","5,879","2,580","6,498","1,989","3,066","12,082","4,763","1,461","2,448","2,029","1,259","1,468","3,291","8,485","2,709","3,000","7,517","8,717","1,461","1,589","2,055",751,"4,752","1,528","5,603","1,783","4,722","4,018","10,419",806,"61,978","3,474","5,859","10,455","1,495","1,876","22,103","3,440","3,060","2,570","7,203","2,758","35,974","11,219","1,276","2,781"
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 18 years,649,"1,286","1,371","8,317","1,215",463,122,"1,066",917,"1,043",864,"1,024",269,"1,561","1,349","6,248","4,545","3,867",938,155,"1,226",890,"3,847","1,242",535,"4,831",618,"2,554","1,960","2,091","1,105","1,892",607,"1,081","4,315","1,640",409,728,670,423,527,992,"2,863",997,754,"2,283","3,154",537,358,889,233,"1,672",466,"2,130",358,"1,752","1,408","3,122",146,"21,286","1,241","1,838","3,314",516,598,"7,649","1,473",962,703,"2,214",609,"10,025","3,396",394,912
            Under 5 years,89,465,224,"2,629",427,99,14,263,213,415,217,245,110,436,428,"2,193",954,"1,358",367,41,420,453,"1,349",274,159,"1,645",133,"1,034",585,481,316,446,205,215,"1,293",545,91,205,253,158,174,212,759,334,174,636,945,173,43,322,117,656,156,740,95,564,413,946,45,"6,911",396,615,"1,021",69,170,"2,148",315,351,179,838,241,"3,614",981,129,240
            5 to 17 years,560,821,"1,147","5,688",788,364,108,803,704,628,647,779,159,"1,125",921,"4,055","3,591","2,509",571,114,806,437,"2,498",968,376,"3,186",485,"1,520","1,375","1,610",789,"1,446",402,866,"3,022","1,095",318,523,417,265,353,780,"2,104",663,580,"1,647","2,209",364,315,567,116,"1,016",310,"1,390",263,"1,188",995,"2,176",101,"14,375",845,"1,223","2,293",447,428,"5,501","1,158",611,524,"1,376",368,"6,411","2,415",265,672
            Related children of householder under 18 years,616,"1,275","1,310","8,081","1,161",462,122,"1,045",917,"1,013",776,985,268,"1,557","1,343","6,177","4,284","3,845",932,152,"1,196",890,"3,842","1,225",458,"4,736",595,"2,523","1,932","2,050","1,097","1,850",600,"1,081","4,248","1,633",409,726,662,423,527,907,"2,772",974,669,"2,266","3,039",537,349,889,233,"1,672",458,"2,130",358,"1,709","1,383","2,984",138,"21,010","1,241","1,816","3,215",511,598,"7,553","1,404",962,703,"2,211",609,"9,986","3,308",394,911
        18 to 64 years,"1,519","2,013","3,281","11,636","2,685",766,273,"2,288","1,580","2,614","1,405","2,148",570,"2,984","2,158","11,350","5,130","4,745","1,474",466,"1,691","2,062","11,578","2,103","1,230","9,119","1,654","3,953","2,536","3,273","1,270","4,016","1,024","1,666","6,386","2,533",805,"1,441","1,102",733,682,"1,901","4,903","1,443","1,854","4,187","4,894",710,937,"1,017",383,"2,394",862,"2,873","1,146","2,554","2,233","6,553",515,"35,204","1,803","3,294","5,571",769,940,"12,310","1,802","1,686","1,539","4,139","1,641","23,811","6,560",733,"1,572"
            18 to 34 years,473,688,"1,103","5,487","1,276",191,63,763,561,"1,753",579,768,230,"1,419",789,"6,093","1,890","2,264",469,104,861,"1,215","7,015",791,414,"4,301",625,"1,808",916,"1,509",456,"1,472",362,595,"2,544","1,078",249,618,439,376,244,786,"2,086",565,482,"2,081","2,493",274,392,270,155,944,229,"1,137",389,993,869,"3,768",172,"16,620",843,"1,460","2,266",243,338,"5,236",602,448,496,"1,657",605,"14,906","2,991",331,591
            35 to 64 years,"1,046","1,325","2,178","6,149","1,409",575,210,"1,525","1,019",861,826,"1,380",340,"1,565","1,369","5,257","3,240","2,481","1,005",362,830,847,"4,563","1,312",816,"4,818","1,029","2,145","1,620","1,764",814,"2,544",662,"1,071","3,842","1,455",556,823,663,357,438,"1,115","2,817",878,"1,372","2,106","2,401",436,545,747,228,"1,450",633,"1,736",757,"1,561","1,364","2,785",343,"18,584",960,"1,834","3,305",526,602,"7,074","1,200","1,238","1,043","2,482","1,036","8,905","3,569",402,981
